Movement,Count,Month,Year
Authoritarianism,2,1,2010
Authoritarianism,2,2,2010
Authoritarianism,3,3,2010
Authoritarianism,0,4,2010
Authoritarianism,0,5,2010
Authoritarianism,1,6,2010
Authoritarianism,2,7,2010
Authoritarianism,0,8,2010
Authoritarianism,2,9,2010
Authoritarianism,1,10,2010
Authoritarianism,4,11,2010
Authoritarianism,2,12,2010
Authoritarianism,14,1,2011
Authoritarianism,14,2,2011
Authoritarianism,8,3,2011
Authoritarianism,11,4,2011
Authoritarianism,8,5,2011
Authoritarianism,4,6,2011
Authoritarianism,6,7,2011
Authoritarianism,3,8,2011
Authoritarianism,4,9,2011
Authoritarianism,3,10,2011
Authoritarianism,5,11,2011
Authoritarianism,3,12,2011
Authoritarianism,7,1,2012
Authoritarianism,3,2,2012
Authoritarianism,4,3,2012
Authoritarianism,3,4,2012
Authoritarianism,4,5,2012
Authoritarianism,2,6,2012
Authoritarianism,3,7,2012
Authoritarianism,2,8,2012
Authoritarianism,4,9,2012
Authoritarianism,2,10,2012
Authoritarianism,3,11,2012
Authoritarianism,2,12,2012
Authoritarianism,3,1,2013
Authoritarianism,1,2,2013
Authoritarianism,5,3,2013
Authoritarianism,4,4,2013
Authoritarianism,1,5,2013
Authoritarianism,7,6,2013
Authoritarianism,6,7,2013
Authoritarianism,5,8,2013
Authoritarianism,5,9,2013
Authoritarianism,2,10,2013
Authoritarianism,6,11,2013
Authoritarianism,3,12,2013
Authoritarianism,5,1,2014
Authoritarianism,1,2,2014
Authoritarianism,4,3,2014
Authoritarianism,2,4,2014
Authoritarianism,8,5,2014
Authoritarianism,3,6,2014
Authoritarianism,0,7,2014
Authoritarianism,3,8,2014
Authoritarianism,2,9,2014
Authoritarianism,4,10,2014
Authoritarianism,4,11,2014
Authoritarianism,5,12,2014
Authoritarianism,3,1,2015
Authoritarianism,1,2,2015
Authoritarianism,4,3,2015
Authoritarianism,1,4,2015
Authoritarianism,2,5,2015
Authoritarianism,2,6,2015
Authoritarianism,3,7,2015
Authoritarianism,5,8,2015
Authoritarianism,1,9,2015
Authoritarianism,5,10,2015
Authoritarianism,5,11,2015
Authoritarianism,3,12,2015
Authoritarianism,2,1,2016
Authoritarianism,1,2,2016
Authoritarianism,9,3,2016
Authoritarianism,3,4,2016
Authoritarianism,6,5,2016
Authoritarianism,0,6,2016
Authoritarianism,7,7,2016
Authoritarianism,8,8,2016
Authoritarianism,8,9,2016
Authoritarianism,5,10,2016
Authoritarianism,9,11,2016
Authoritarianism,5,12,2016
Authoritarianism,8,1,2017
Authoritarianism,6,2,2017
Authoritarianism,6,3,2017
Authoritarianism,11,4,2017
Authoritarianism,9,5,2017
Authoritarianism,5,6,2017
Authoritarianism,4,7,2017
Authoritarianism,2,8,2017
Authoritarianism,4,9,2017
Authoritarianism,4,10,2017
Authoritarianism,12,11,2017
Authoritarianism,2,12,2017
Authoritarianism,9,1,2018
Authoritarianism,6,2,2018
Authoritarianism,8,3,2018
Authoritarianism,5,4,2018
Authoritarianism,7,5,2018
Authoritarianism,5,6,2018
Authoritarianism,9,7,2018
Authoritarianism,6,8,2018
Authoritarianism,5,9,2018
Authoritarianism,5,10,2018
Authoritarianism,7,11,2018
Authoritarianism,6,12,2018
Authoritarianism,2,1,2019
Authoritarianism,6,2,2019
Authoritarianism,4,3,2019
Authoritarianism,12,4,2019
Authoritarianism,11,5,2019
Authoritarianism,9,6,2019
Authoritarianism,6,7,2019
Authoritarianism,3,8,2019
Authoritarianism,9,9,2019
Authoritarianism,4,10,2019
Authoritarianism,6,11,2019
Authoritarianism,7,12,2019
Authoritarianism,5,1,2020
Authoritarianism,7,2,2020
Authoritarianism,5,3,2020
Authoritarianism,6,4,2020
Authoritarianism,5,5,2020
Authoritarianism,6,6,2020
Authoritarianism,11,7,2020
Authoritarianism,11,8,2020
Authoritarianism,9,9,2020
Authoritarianism,11,10,2020
Authoritarianism,6,11,2020
Authoritarianism,6,12,2020
